"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
1990,9,6,4,1354,1355,1908,1905,"AA",78,"",194,190,,3,-1,"LAX","DFW",1235,,,0,"",0,,,,,
2007,4,16,1,1044,1045,1443,1450,"AA",1980,"N491AA",119,125,103,-7,-1,"TUS","DFW",813,5,11,0,"",0,0,0,0,0,0
1991,3,20,3,821,825,847,847,"TW",262,"",26,22,,0,-4,"PUB","COS",37,,,0,"",0,,,,,
2000,5,16,2,1928,1932,2059,2058,"CO",1960,"N14342",91,86,79,1,-4,"OKC","IAH",395,4,8,0,"",0,,,,,
2003,12,2,2,2100,2047,2218,2211,"AA",512,"N433AA",78,84,59,7,13,"ORD","BNA",409,6,13,0,"",0,0,0,0,0,0
1996,12,30,1,1939,1940,1941,1936,"DL",1002,"N924DL",62,56,29,5,-1,"ATL","HSV",151,4,29,0,"",0,,,,,
1992,10,26,1,1719,1715,1913,1855,"DL",1482,"",114,100,,18,4,"ATL","IAD",533,,,0,"",0,,,,,
1998,12,5,6,1940,1940,2207,2209,"DL",404,"N120DL",147,149,124,-2,0,"ATL","BOS",946,6,17,0,"",0,,,,,
2000,12,7,4,1229,1227,1257,1255,"AQ",30,"N726AL",28,28,22,2,2,"OGG","KOA",84,2,4,0,"",0,,,,,
1993,7,5,1,959,1000,1059,1116,"US",1445,"",60,76,,-17,-1,"BOS","EWR",200,,,0,"",0,,,,,
2003,3,18,2,1402,1405,1514,1538,"DH",7807,"N308UE",72,93,56,-24,-3,"JFK","IAD",228,3,13,0,"",0,,,,,
1994,3,1,2,1711,1711,1814,1815,"DL",983,"",63,64,,-1,0,"DFW","IAH",224,,,0,"",0,,,,,
1987,11,15,7,1327,1154,1435,1300,"DL",1099,"",68,66,,95,93,"DFW","AMA",313,,,0,"",0,,,,,
1989,12,22,5,,1515,,1624,"CO",124,"",,69,,,,"IAH","HRL",295,,,1,"",0,,,,,
1992,10,12,1,1007,1006,1115,1111,"CO",457,"",128,125,,4,1,"MSP","DEN",680,,,0,"",0,,,,,
1996,9,14,6,1350,1350,1608,1620,"WN",181,"N664",78,90,70,-12,0,"ELP","DAL",562,3,5,0,"",0,,,,,
1988,8,4,4,746,745,839,843,"PI",71,"",53,58,,-4,1,"DCA","GSO",248,,,0,"",0,,,,,
1999,2,2,2,1328,1330,1542,1545,"UA",121,"N812UA",254,255,227,-3,-2,"ORD","LAX",1745,8,19,0,"",0,,,,,
1996,11,22,5,745,745,831,831,"TW",637,"N903TW",46,46,32,0,0,"PBI","SRQ",159,4,10,0,"",0,,,,,
2005,8,6,6,619,630,727,740,"UA",1119,"N840UA",68,70,55,-13,-11,"ABQ","DEN",349,5,8,0,"",0,0,0,0,0,0
2008,12,5,5,1221,1210,1344,1348,"FL",777,"N272AT",263,278,243,-4,11,"ATL","LAS",1747,6,14,0,"",0,,,,,
2002,9,23,1,1235,1235,1327,1330,"WN",1768,"N384",52,55,42,-3,0,"ONT","LAS",197,4,6,0,"",0,,,,,
1996,8,19,1,2353,2355,100,55,"HP",2367,"N327AW",67,60,41,5,-2,"PHX","LAS",256,14,12,0,"",0,,,,,
2004,12,8,3,1723,1730,1922,1912,"OO",6704,"N910SW",119,102,100,10,-7,"ELP","DEN",563,7,12,0,"",0,0,0,0,0,0
2002,9,10,2,619,625,738,740,"NW",890,"N908H",79,75,50,-2,-6,"ROC","DTW",296,16,13,0,"",0,,,,,
1992,2,29,6,536,537,659,654,"TW",324,"",83,77,,5,-1,"OKC","STL",462,,,0,"",0,,,,,
2000,5,13,6,906,900,1101,1041,"UA",1166,"N992UA",115,101,86,20,6,"ORD","BHM",584,4,25,0,"",0,,,,,
1988,8,18,4,801,801,925,920,"EA",309,"",84,79,,5,0,"IND","MCI",451,,,0,"",0,,,,,
1990,2,20,2,1657,1657,1836,1838,"EA",685,"",99,101,,-2,0,"CAK","ATL",528,,,0,"",0,,,,,
1991,2,28,4,1101,1050,1157,1145,"DL",1852,"",56,55,,12,11,"LAX","FAT",209,,,0,"",0,,,,,
2008,3,16,7,1131,1115,1333,1233,"NW",115,"N532US",242,198,208,60,16,"MSP","PHX",1276,6,28,0,"",0,13,0,44,0,3
2000,1,27,4,1602,1559,1747,1745,"HP",2490,"N316AW",105,106,83,2,3,"PHX","DEN",602,4,18,0,"",0,,,,,
